,0,1,2,3,4,5,location,area,classification,salary
0,Administrator,https://www.seek.co.nz/job/50582301?type=promoted#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,unknown,location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,"Featured,at,Private Advertiser",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,Bay of PlentyBay of Plenty, TaurangaTauranga, Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,
1,Receptionist,https://www.seek.co.nz/job/50620889?type=promoted#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Avenues Orthodontics,location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,"Featured,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,Bay of PlentyBay of Plenty, TaurangaTauranga, Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,
2,Prosecutions Support Officer,https://www.seek.co.nz/job/50622169?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,New Zealand Police,location: AucklandAuckland,"4d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,AucklandAuckland,, Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,
3,Early Childhood Centre Administrator,https://www.seek.co.nz/job/50639620?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Kew Pacific Island Early Learning Centre,location: SouthlandSouthlandarea: InvercargillInvercargill,"1h ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,SouthlandSouthland, InvercargillInvercargill, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
4,Business Support Administrator,https://www.seek.co.nz/job/50622432?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,unknown,location: CanterburyCanterburyarea: ChristchurchChristchurch,"4d ago,at,Private Advertiser",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,CanterburyCanterbury, ChristchurchChristchurch, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
5,Support Officer,https://www.seek.co.nz/job/50640393?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Ministry for Primary Industries,location: NorthlandNorthlandarea: WhangareiWhangarei,"9m ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,NorthlandNorthland, WhangareiWhangarei, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
6,Support Officer,https://www.seek.co.nz/job/50615674?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,"Ministry of Business, Innovation and Employment",location: WellingtonWellingtonarea: Wellington CentralWellington Central,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,WellingtonWellington, Wellington CentralWellington Central, Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,
7,Office Administrator,https://www.seek.co.nz/job/50640166?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Hepburn Electrical Ltd,location: Bay of PlentyBay of Plentyarea: RotoruaRotorua,"7m ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,Bay of PlentyBay of Plenty, RotoruaRotorua, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
8,Office Administrator,https://www.seek.co.nz/job/50639248?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Webster Holland Ltd,location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,"2h ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,Bay of PlentyBay of Plenty, TaurangaTauranga, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
9,Administration Officer,https://www.seek.co.nz/job/50629393?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,New Zealand Police,location: CanterburyCanterbury,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,CanterburyCanterbury,, Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,
10,Administration Officer,https://www.seek.co.nz/job/50600186?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Department of Conservation,location: West CoastWest Coastarea: Rest of West CoastRest of West Coast,"7d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,West CoastWest Coast, Rest of West CoastRest of West Coast, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
11,Data Entry,https://www.seek.co.nz/job/50616188?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Triple One Care,location: TasmanTasmanarea: NelsonNelson,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Data Entry & Word ProcessingData Entry & Word Processing,TasmanTasman, NelsonNelson, Administration & Office SupportAdministration & Office SupportsubClassification: Data Entry & Word ProcessingData Entry & Word Processing,
12,Office Admin Assistant (10Hrs Per Week),https://www.seek.co.nz/job/50597141?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,UIV Limited - Premier Insulation North Central,"location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,$20 per hour","8d ago,at",$20 per hour,AucklandAuckland," Manukau & East AucklandManukau & East Auckland,$20 per hour",$20 per hour,20 per hour
13,Office Administrator,https://www.seek.co.nz/job/50632818?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Wraight and Associates Ltd.,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,WellingtonWellington, Wellington CentralWellington Central, Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,
14,Office Administrator,https://www.seek.co.nz/job/50632185?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Morgan & Pollard Landscapes Ltd,location: CanterburyCanterburyarea: Rest of CanterburyRest of Canterbury,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,CanterburyCanterbury, Rest of CanterburyRest of Canterbury, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
15,Customer Service Officer,https://www.seek.co.nz/job/50614282?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,CM Trailer Parts,location: CanterburyCanterburyarea: Timaru & South CanterburyTimaru & South Canterbury,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,CanterburyCanterbury, Timaru & South CanterburyTimaru & South Canterbury, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
