,job_name,job_link,post_date,area,location,classification,sub_classification,salary
0,Administrator,https://www.seek.co.nz/job/50582301?type=promoted#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,unknown,Tauranga,Bay of Plenty,Administration & Office Support,Office Management,
1,Receptionist,https://www.seek.co.nz/job/50620889?type=promoted#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,unknown,Tauranga,Bay of Plenty,Administration & Office Support,Receptionists,
2,Prosecutions Support Officer,https://www.seek.co.nz/job/50622169?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,2023-05-13,,Auckland,Administration & Office Support,Other,
3,Early Childhood Centre Administrator,https://www.seek.co.nz/job/50639620?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,2023-05-17,Invercargill,Southland,Administration & Office Support,Administrative Assistants,
4,Business Support Administrator,https://www.seek.co.nz/job/50622432?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,2023-05-13,Christchurch,Canterbury,Administration & Office Support,Client & Sales Administration,
5,Support Officer,https://www.seek.co.nz/job/50640393?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,unknown,Whangarei,Northland,Administration & Office Support,Administrative Assistants,
6,Support Officer,https://www.seek.co.nz/job/50615674?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,2023-05-12,Wellington Central,Wellington,Administration & Office Support,Other,
7,Office Administrator,https://www.seek.co.nz/job/50640166?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,unknown,Rotorua,Bay of Plenty,Administration & Office Support,Administrative Assistants,
8,Office Administrator,https://www.seek.co.nz/job/50639248?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,2023-05-17,Tauranga,Bay of Plenty,Administration & Office Support,Administrative Assistants,
9,Administration Officer,https://www.seek.co.nz/job/50629393?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,2023-05-14,,Canterbury,Administration & Office Support,Other,
